amp_vpp,thd_mean,thd_min,thd_max,thd_1k,vrms_1k
0.2,0.1904,0.0850,0.3070,0.1856,0.8634
0.3,0.3218,0.0800,0.4377,0.3266,1.3223
0.4,0.1925,0.0023,0.4055,0.1597,1.7535
0.5,0.3321,0.0783,0.4602,0.3602,2.2209
