freq_hz,vrms,pkpk,rel_db
3.0,2.2046055989578495,0.28437639999999975,-27.1259816861239
3.254019,1.768764104132904,5.0375248,-2.1595087831643287
3.529547,1.812570228376442,5.2000256,-1.8837430934516632
3.828405,1.8641343920192481,5.3625264,-1.6164638622920329
4.152567,1.9162148493669737,5.484402,-1.4212671165089077
4.504178,1.9520825838750024,5.6062776,-1.2303607583843004
4.885561,1.9891720870355585,5.687528,-1.105381772844268
5.299236,2.0180316107691927,5.7687784,-0.9821755987479008
5.747939,2.0552556488182017,5.8500288000000005,-0.8606926445040362
6.234634,2.0626909924525463,5.9312792000000005,-0.7408853707202869
6.76254,2.106337914550044,6.0125296,-0.6227081785098818
7.335145,2.1014130725652267,6.0531548,-0.5642171181635494
7.956234,2.1319511984848316,6.09378,-0.5061173052954047
8.629913,2.1538903299305745,6.1344052,-0.4484035405456428
9.360634,2.1451327398869813,6.2156556,-0.3341138700570543
10.153228,2.1575076449864126,6.2156556,-0.3341138700570543
11.012933,2.176928246504546,6.2562808,-0.27752806967976973
11.945432,2.190235763063309,6.2562808,-0.27752806967976973
12.956888,2.196838482671568,6.296906,-0.22130852300320214
14.053988,2.196459962981212,6.296906,-0.22130852300320214
15.243982,2.2192091775388954,6.296906,-0.22130852300320214
16.534737,2.191472708928666,6.296906,-0.22130852300320214
17.934784,2.218373110867009,6.3375312,-0.1654505193197977
19.453378,2.2353528183169664,6.3375312,-0.1654505193197977
21.100555,2.226542649770076,6.3781564,-0.10994943822435488
22.887204,2.2187708025049737,6.3781564,-0.10994943822435488
24.825134,2.219543069878719,6.3781564,-0.10994943822435488
26.927154,2.2545908491471236,6.4187816,-0.05480074732057716
29.207159,2.208790442802009,6.4187816,-0.05480074732057716
31.680219,2.242944480770908,6.3781564,-0.10994943822435488
34.36268,2.2456036351816335,6.3781564,-0.10994943822435488
37.272274,2.2183756403694397,6.4187816,-0.05480074732057716
40.428232,2.2260477416231663,6.3781564,-0.10994943822435488
43.851415,2.242494995932461,6.4187816,-0.05480074732057716
47.564449,2.248475894598835,6.4594068,0.0
51.591877,2.2481270653363863,6.4187816,-0.05480074732057716
55.96032,2.2429933387894145,6.4594068,0.0
60.698652,2.229870266876251,6.4187816,-0.05480074732057716
65.838194,2.2564295206917384,6.4187816,-0.05480074732057716
71.412916,2.224347343015961,6.4594068,0.0
77.459667,2.265916918004318,6.4594068,0.0
84.018415,2.232292599952966,6.4594068,0.0
91.132512,2.231534211528627,6.4594068,0.0
98.848982,2.2564959330204113,6.4594068,0.0
107.21883,2.2618619969081877,6.4187816,-0.05480074732057716
116.297377,2.257436759404017,6.4594068,0.0
126.144634,2.255441735696977,6.4594068,0.0
136.825688,2.26766445764384,6.4594068,0.0
148.411139,2.23445498791098,6.4594068,0.0
160.977567,2.238832767496655,6.4594068,0.0
174.608032,2.2664771045026573,6.4594068,0.0
189.392631,2.242048807115231,6.4594068,0.0
205.429087,2.22840520481579,6.4594068,0.0
222.823399,2.2328619613749265,6.4594068,0.0
241.690542,2.238635786228459,6.4594068,0.0
262.155223,2.2366142521804004,6.4594068,0.0
284.352711,2.2291868687583567,6.4594068,0.0
308.429729,2.267101070225712,6.4594068,0.0
334.545422,2.2281600453061774,6.4187816,-0.05480074732057716
362.872412,2.2357876468163074,6.4594068,0.0
393.597934,2.2590945727479386,6.4594068,0.0
426.925081,2.258808612989912,6.4187816,-0.05480074732057716
463.07414,2.2507776037742007,6.4187816,-0.05480074732057716
502.284051,2.24821075405877,6.4594068,0.0
544.813985,2.2511117992136285,6.4187816,-0.05480074732057716
590.94506,2.2581034220886744,6.4594068,0.0
640.982195,2.2266550192182137,6.4594068,0.0
695.256128,2.2480676004035636,6.4594068,0.0
754.125601,2.2457024103182013,6.4187816,-0.05480074732057716
817.979734,2.219847173088821,6.4187816,-0.05480074732057716
887.240592,2.2515657211000675,6.4594068,0.0
962.36598,2.2501345888980646,6.4187816,-0.05480074732057716
1043.852466,2.229380391175754,6.4187816,-0.05480074732057716
1132.238663,2.221214007779716,6.3781564,-0.10994943822435488
1228.108791,2.219343781607894,6.4187816,-0.05480074732057716
1332.096537,2.220751206586023,6.3781564,-0.10994943822435488
1444.889246,2.2059595824023934,6.3781564,-0.10994943822435488
1567.232459,2.247073201745746,6.3781564,-0.10994943822435488
1699.934849,2.2255141613593565,6.3781564,-0.10994943822435488
1843.873558,2.205382078266854,6.3375312,-0.1654505193197977
2000.0,2.220857329446624,6.3375312,-0.1654505193197977
