freq_hz,vrms,pkpk,rel_db
10000.0,1.890070129828939,5.5656524,0.0
10226.49689,1.881871874526885,5.5250272,-0.06363317572378513
10458.123865,1.867855158943757,5.5250272,-0.06363317572378513
10694.997118,1.850294435489248,5.4031516,-0.2573785237864197
10937.235477,1.841491337471327,5.4437768,-0.1923153758319831
11184.96046,1.8361355424293875,5.4031516,-0.2573785237864197
11438.296336,1.8205558671280402,5.3219012,-0.3889854300128519
11697.370191,1.8003216776939626,5.3219012,-0.3889854300128519
11962.311989,1.7913693801872703,5.3219012,-0.3889854300128519
12233.254635,1.784532557604703,5.2406508,-0.5226171371431576
12510.334049,1.7639115652263888,5.2406508,-0.5226171371431576
12793.689225,1.7445028526097366,5.1594004,-0.6583369240089993
13083.462307,1.7371308917884214,5.2000256,-0.5902119501707688
13379.79866,1.7173914941760466,5.07815,-0.7962110829670088
13682.846939,1.7035593323018094,5.0375248,-0.8659776398834342
13992.759167,1.6952677402219256,4.9968996,-0.9363091143401796
14309.690811,1.689273390959457,4.9562744,-1.0072147296331728
14633.800858,1.6758755247306762,4.9968996,-0.9363091143401796
14965.251897,1.6498333378643038,4.875024,-1.1507864221756403
15304.210199,1.6210916833994744,4.875024,-1.1507864221756403
15650.845801,1.604560662667479,4.7937736,-1.2967711970056275
16005.332591,1.5941042734442088,4.7125232,-1.4452515585897672
16367.848397,1.5858290220684894,4.7125232,-1.4452515585897672
16738.575074,1.5668306996134742,4.5906476000000005,-1.6728424734597418
17117.698594,1.5328936125386197,4.5500224,-1.7500508897245055
17505.409144,1.5097776087266115,4.5093972,-1.8279517673949854
17901.901218,1.497884785131396,4.4687719999999995,-1.906557639963637
18307.373714,1.4932307181472462,4.4281468,-1.9858813843156646
18722.030035,1.4725706474777556,4.3468964,-2.1467357894239427
19146.078194,1.439588341388686,4.3468964,-2.1467357894239427
19579.730911,1.4125386129392563,4.2250208,-2.3937445571525284
20023.205728,1.4061942199814272,4.2250208,-2.3937445571525284
20476.725111,1.3933062511639538,4.1437704,-2.562407907889785
20940.516567,1.3634574887237247,4.06252,-2.7344113431281354
21414.812756,1.3307863100279935,3.9812696,-2.9098898292782387
21899.851605,1.3176808513636113,4.0218948,-2.8217074511771365
22395.876434,1.3092881159958822,3.9000192,-3.088986682336767
22903.136071,1.2831871839190716,3.8187688,-3.2718542711341616
23421.884981,1.2504510471776362,3.7781436,-3.364752372049434
23952.383392,1.2357066659881335,3.6968932,-3.553583496706265
24494.897428,1.2229216307783162,3.656268,-3.6495611543416384
25049.699238,1.1939272839820683,3.656268,-3.6495611543416384
25617.067136,1.1662444220950061,3.5750176,-3.8447579001247636
26197.28574,1.1575051298165908,3.453142,-4.14603282884228
26790.646116,1.1224859650574868,3.4125168,-4.248825621890504
27397.44592,1.1037922910707787,3.4125168,-4.248825621890504
28017.98955,1.0938434493607843,3.3312664,-4.458134295453801
28652.588301,1.0843142140017559,3.250016,-4.6726116032892655
29301.560516,1.0638159893798262,3.2093908,-4.781869517319308
29965.23175,1.0332054656564553,3.1687656,-4.892519289318528
30643.934931,1.0016958455560843,3.0875152,-5.11813949751231
31338.010528,0.980535469198617,2.9656396000000003,-5.4679541407190175
32047.806721,0.9681427543488702,2.9250144000000002,-5.587761414502767
32773.679578,0.9530069276496693,2.9250144000000002,-5.587761414502767
33515.993229,0.9293749498459617,2.9656396000000003,-5.4679541407190175
34275.120053,0.9021315737903616,2.8031388,-5.957429528383029
35051.440864,0.8774809978159991,2.7218884,-6.212915289111608
35845.3451,0.8640031684629939,2.640638,-6.476144210271025
36657.23102,0.8517755003042669,2.5593876,-6.747600354056502
37487.505903,0.8299067155052384,2.5593876,-6.747600354056502
38336.586255,0.8068618825770484,2.5187624,-6.886577553163059
39204.898012,0.7853173759074717,2.4781372,-7.027814642912796
40092.876761,0.7702692191366469,2.3968868,-7.3173711102852526
41000.967952,0.752275159648194,2.3156364,-7.616914229678308
41929.627126,0.731653423219952,2.2750112,-7.770650803004129
42879.320142,0.7129647367751225,2.2750112,-7.770650803004129
43850.523409,0.6956865929549239,2.1937608,-8.086536146668765
44843.724129,0.6801789290596356,2.1531355999999997,-8.248893951112358
45859.420535,0.6621458962961835,2.0718852,-8.583007821169408
46898.12215,0.6440266713373,2.03126,-8.755011256407759
47960.350033,0.628331465236159,1.9906348,-8.930489742557864
49046.637047,0.6106668932851511,1.9093844,-9.292454184413787
50157.528125,0.593583526368269,1.8687592,-9.479254709496654
51293.58054,0.577091225880988,1.828134,-9.670161067621263
52455.364188,0.5616377700301103,1.828134,-9.670161067621263
53643.461875,0.5501084118335989,1.7062583999999998,-10.269425535170129
54858.469606,0.535458629701865,1.7062583999999998,-10.269425535170129
56100.996883,0.519053985073595,1.7062583999999998,-10.269425535170129
57371.667017,0.5094471351782148,1.6656331999999998,-10.478734208733428
58671.117435,0.4944265427423722,1.6656332,-10.478734208733426
60000.0,0.4819354308663964,1.5843828,-10.913119202598153
