"freq_""hz""","amplitude_""db"""
0.0,-6.8343896000000015
1220.703125,0.7656103999999999
2441.40625,5.565610400000001
3662.109375,-2.8343896000000015
4882.8125,-25.2343896
6103.515625,-36.034389600000004
7324.21875,-41.2343896
8544.921875,-51.2343896
9765.625,-47.2343896
10986.328125,-60.8343896
12207.03125,-55.2343896
13427.734375,-55.2343896
14648.4375,-58.4343896
15869.140625,-55.2343896
17089.84375,-55.2343896
18310.546875,-60.8343896
19531.25,-60.8343896
20751.953125,-54.4343896
21972.65625,-55.2343896
23193.359375,-60.8343896
24414.0625,-55.2343896
25634.765625,-51.2343896
26855.46875,-51.2343896
28076.171875,-55.2343896
29296.875,-52.4343896
30517.578125,-48.8343896
31738.28125,-48.8343896
32958.984375,-48.8343896
34179.6875,-52.4343896
35400.390625,-54.4343896
36621.09375,-60.8343896
37841.796875,-54.4343896
39062.5,-48.4343896
40283.203125,-46.8343896
41503.90625,-45.634389600000006
42724.609375,-51.2343896
43945.3125,-54.4343896
45166.015625,-54.4343896
46386.71875,-52.4343896
47607.421875,-48.4343896
48828.125,-47.2343896
50048.828125,-47.2343896
51269.53125,-48.8343896
52490.234375,-51.634389600000006
53710.9375,-58.4343896
54931.640625,-54.4343896
56152.34375,-52.4343896
57373.046875,-54.4343896
58593.75,-60.8343896
59814.453125,-60.8343896
61035.15625,-58.4343896
62255.859375,-50.034389600000004
63476.5625,-48.4343896
64697.265625,-48.4343896
65917.96875,-58.4343896
67138.671875,-60.8343896
68359.375,-58.4343896
69580.078125,-54.4343896
70800.78125,-54.4343896
72021.484375,-54.4343896
73242.1875,-54.4343896
74462.890625,-58.4343896
75683.59375,-55.2343896
76904.296875,-54.4343896
78125.0,-60.8343896
79345.703125,-54.4343896
80566.40625,-55.2343896
81787.109375,-60.8343896
83007.8125,-54.4343896
84228.515625,-50.034389600000004
85449.21875,-48.8343896
86669.921875,-49.2343896
87890.625,-54.4343896
89111.328125,-58.4343896
90332.03125,-58.4343896
91552.734375,-58.4343896
92773.4375,-58.4343896
93994.140625,-54.4343896
95214.84375,-52.4343896
96435.546875,-52.4343896
97656.25,-48.8343896
98876.953125,-52.4343896
100097.65625,-54.4343896
101318.359375,-51.2343896
102539.0625,-47.2343896
103759.765625,-48.4343896
104980.46875,-48.8343896
106201.171875,-50.034389600000004
107421.875,-50.034389600000004
108642.578125,-47.2343896
109863.28125,-44.034389600000004
111083.984375,-46.034389600000004
112304.6875,-48.4343896
113525.390625,-58.4343896
114746.09375,-60.8343896
115966.796875,-60.8343896
117187.5,-54.4343896
118408.203125,-49.2343896
119628.90625,-45.634389600000006
120849.609375,-45.634389600000006
122070.3125,-49.2343896
123291.015625,-54.4343896
124511.71875,-51.2343896
125732.421875,-49.2343896
126953.125,-48.8343896
128173.828125,-48.8343896
129394.53125,-54.4343896
130615.234375,-60.8343896
131835.9375,-60.8343896
133056.640625,-60.8343896
134277.34375,-60.8343896
135498.046875,-58.4343896
136718.75,-58.4343896
137939.453125,-60.8343896
139160.15625,-55.2343896
140380.859375,-60.8343896
141601.5625,-60.8343896
142822.265625,-60.8343896
144042.96875,-55.2343896
145263.671875,-51.2343896
146484.375,-48.4343896
147705.078125,-48.8343896
148925.78125,-60.8343896
150146.484375,-58.4343896
151367.1875,-54.4343896
152587.890625,-55.2343896
153808.59375,-54.4343896
155029.296875,-52.4343896
156250.0,-60.8343896
157470.703125,-60.8343896
158691.40625,-60.8343896
159912.109375,-55.2343896
161132.8125,-58.4343896
162353.515625,-54.4343896
163574.21875,-51.634389600000006
164794.921875,-54.4343896
166015.625,-52.4343896
167236.328125,-50.034389600000004
168457.03125,-52.4343896
169677.734375,-52.4343896
170898.4375,-52.4343896
172119.140625,-55.2343896
173339.84375,-55.2343896
174560.546875,-60.8343896
175781.25,-48.8343896
177001.953125,-46.034389600000004
178222.65625,-46.8343896
179443.359375,-54.4343896
180664.0625,-54.4343896
181884.765625,-58.4343896
183105.46875,-58.4343896
184326.171875,-48.4343896
185546.875,-48.4343896
186767.578125,-50.034389600000004
187988.28125,-58.4343896
189208.984375,-58.4343896
190429.6875,-54.4343896
191650.390625,-50.034389600000004
192871.09375,-52.4343896
194091.796875,-52.4343896
195312.5,-58.4343896
196533.203125,-55.2343896
197753.90625,-54.4343896
198974.609375,-54.4343896
200195.3125,-51.2343896
201416.015625,-51.634389600000006
202636.71875,-54.4343896
203857.421875,-58.4343896
205078.125,-54.4343896
206298.828125,-48.4343896
207519.53125,-51.2343896
208740.234375,-58.4343896
209960.9375,-60.8343896
211181.640625,-60.8343896
212402.34375,-60.8343896
213623.046875,-54.4343896
214843.75,-49.2343896
216064.453125,-51.2343896
217285.15625,-51.634389600000006
218505.859375,-55.2343896
219726.5625,-60.8343896
220947.265625,-55.2343896
222167.96875,-60.8343896
223388.671875,-54.4343896
224609.375,-52.4343896
225830.078125,-51.2343896
227050.78125,-51.2343896
