time_s,volts
0.0,-6.800000000000001
4e-07,-6.4
8e-07,-6.800000000000001
1.2e-06,-6.4
1.6e-06,-7.2
2e-06,-6.4
2.4e-06,-6.800000000000001
2.8e-06,-6.800000000000001
3.2e-06,-6.800000000000001
3.6e-06,-6.800000000000001
4e-06,-7.2
4.4e-06,-6.800000000000001
4.8e-06,-7.2
5.199999999999999e-06,-6.800000000000001
5.6e-06,-7.2
6e-06,-7.2
6.4e-06,-7.2
6.799999999999999e-06,-6.800000000000001
7.2e-06,-7.2
7.6e-06,-7.2
8e-06,-7.2
8.4e-06,-7.2
8.8e-06,-7.2
9.2e-06,-6.800000000000001
9.6e-06,-7.2
9.999999999999999e-06,-7.2
1.0399999999999999e-05,-7.6000000000000005
1.08e-05,-7.6000000000000005
1.12e-05,-7.2
1.1599999999999999e-05,-7.6000000000000005
1.2e-05,-7.2
1.24e-05,-8.0
1.28e-05,-8.0
1.3199999999999999e-05,-7.6000000000000005
1.3599999999999999e-05,-8.0
1.4e-05,-7.2
1.44e-05,-7.6000000000000005
1.4799999999999999e-05,-8.0
1.52e-05,-8.0
1.56e-05,-8.4
1.6e-05,-8.4
1.64e-05,-8.4
1.68e-05,-8.0
1.7199999999999998e-05,-8.0
1.76e-05,-7.6000000000000005
1.8e-05,-8.4
1.84e-05,-8.4
1.88e-05,-8.4
1.92e-05,-8.4
1.96e-05,-8.0
1.9999999999999998e-05,-8.4
2.0399999999999998e-05,-8.4
2.0799999999999997e-05,-8.4
2.12e-05,-8.4
2.16e-05,-8.4
2.2e-05,-8.8
2.24e-05,-8.8
2.28e-05,-8.4
2.3199999999999998e-05,-8.8
2.3599999999999998e-05,-8.8
2.4e-05,-8.4
2.44e-05,-9.200000000000001
2.48e-05,-8.8
2.52e-05,-8.8
2.56e-05,-9.200000000000001
2.6e-05,-9.600000000000001
2.6399999999999998e-05,-9.200000000000001
2.6799999999999998e-05,-9.200000000000001
2.7199999999999997e-05,-9.200000000000001
2.76e-05,-8.8
2.8e-05,-9.200000000000001
2.84e-05,-9.200000000000001
2.88e-05,-9.600000000000001
2.9199999999999998e-05,-9.200000000000001
2.9599999999999998e-05,-9.200000000000001
2.9999999999999997e-05,-9.600000000000001
3.04e-05,-9.200000000000001
3.0799999999999996e-05,-9.200000000000001
3.12e-05,-9.600000000000001
3.1599999999999996e-05,-9.200000000000001
3.2e-05,-9.200000000000001
3.24e-05,-10.0
3.28e-05,-10.0
3.32e-05,-9.600000000000001
3.36e-05,-10.0
3.4e-05,-9.600000000000001
3.4399999999999996e-05,-10.0
3.48e-05,-9.600000000000001
3.52e-05,-10.4
3.56e-05,-10.0
3.6e-05,-10.4
3.64e-05,-10.0
3.68e-05,-9.600000000000001
3.7199999999999996e-05,-10.0
3.76e-05,-10.0
3.7999999999999995e-05,-9.600000000000001
3.84e-05,-10.0
3.88e-05,-10.4
3.92e-05,-10.0
3.96e-05,-10.4
3.9999999999999996e-05,-10.0
4.04e-05,-10.8
4.0799999999999996e-05,-10.4
4.12e-05,-10.8
4.1599999999999995e-05,-10.0
4.2e-05,-10.8
4.24e-05,-10.4
4.28e-05,-10.4
4.32e-05,-10.8
4.3599999999999996e-05,-10.8
4.4e-05,-10.4
4.4399999999999995e-05,-10.4
4.48e-05,-10.8
4.52e-05,-10.8
4.56e-05,-11.200000000000001
4.6e-05,-10.0
4.6399999999999996e-05,-10.8
4.68e-05,-11.200000000000001
4.7199999999999995e-05,-11.200000000000001
4.76e-05,-10.8
4.8e-05,-10.8
4.84e-05,-11.200000000000001
4.88e-05,-11.200000000000001
4.9199999999999997e-05,-11.200000000000001
4.96e-05,-11.200000000000001
4.9999999999999996e-05,-11.200000000000001
5.04e-05,-11.200000000000001
5.0799999999999995e-05,-11.600000000000001
5.12e-05,-10.8
5.16e-05,-11.200000000000001
5.2e-05,-10.8
5.24e-05,-11.600000000000001
5.2799999999999996e-05,-11.200000000000001
5.32e-05,-11.200000000000001
5.3599999999999995e-05,-11.600000000000001
5.4e-05,-11.600000000000001
5.4399999999999994e-05,-11.200000000000001
5.48e-05,-11.200000000000001
5.52e-05,-12.0
5.5599999999999996e-05,-11.600000000000001
5.6e-05,-11.200000000000001
5.6399999999999995e-05,-12.0
5.68e-05,-12.0
5.7199999999999994e-05,-10.8
5.76e-05,-11.600000000000001
5.8e-05,-11.600000000000001
5.8399999999999997e-05,-11.200000000000001
5.88e-05,-11.600000000000001
5.9199999999999996e-05,-11.200000000000001
5.96e-05,-12.4
5.9999999999999995e-05,-11.600000000000001
6.04e-05,-12.0
6.08e-05,-12.0
6.12e-05,-12.0
